caminho_relativo_xml,chave,ano,data_emissao,status,caminho_pdf,mensagem
2019\27190609619157000174550010000744311000000018.xml,27190609619157000174550010000744311000000018,2019,2019-06-10T00:00:00,gerado,individuais\2019\27190609619157000174550010000744311000000018.pdf,DANFE gerado com sucesso.
2019\27190609619157000174550010000746011000000010.xml,27190609619157000174550010000746011000000010,2019,2019-06-13T00:00:00,gerado,individuais\2019\27190609619157000174550010000746011000000010.pdf,DANFE gerado com sucesso.
2019\27190622284127000112550010000012461000024135.xml,27190622284127000112550010000012461000024135,2019,2019-06-14T00:00:00,gerado,individuais\2019\27190622284127000112550010000012461000024135.pdf,DANFE gerado com sucesso.
2019\27190609619157000174550010000752171000000012.xml,27190609619157000174550010000752171000000012,2019,2019-06-27T00:00:00,gerado,individuais\2019\27190609619157000174550010000752171000000012.pdf,DANFE gerado com sucesso.
2019\27190703656804000131550030000134021009111300.xml,27190703656804000131550030000134021009111300,2019,2019-07-10T19:39:00,gerado,individuais\2019\27190703656804000131550030000134021009111300.pdf,DANFE gerado com sucesso.
2019\27190709619157000174550010000764771000000010.xml,27190709619157000174550010000764771000000010,2019,2019-07-22T00:00:00,gerado,individuais\2019\27190709619157000174550010000764771000000010.pdf,DANFE gerado com sucesso.
2019\27190733737433000183550010000000071000002380.xml,27190733737433000183550010000000071000002380,2019,2019-07-24T00:00:00,gerado,individuais\2019\27190733737433000183550010000000071000002380.pdf,DANFE gerado com sucesso.
2019\27190707122759000358550010000073021000815327.xml,27190707122759000358550010000073021000815327,2019,2019-07-24T17:06:18,gerado,individuais\2019\27190707122759000358550010000073021000815327.pdf,DANFE gerado com sucesso.
2019\27190709619157000174550010000767881000000010.xml,27190709619157000174550010000767881000000010,2019,2019-07-26T00:00:00,gerado,individuais\2019\27190709619157000174550010000767881000000010.pdf,DANFE gerado com sucesso.
2019\27190703656804000131550030000159071008155560.xml,27190703656804000131550030000159071008155560,2019,2019-07-26T14:49:00,gerado,individuais\2019\27190703656804000131550030000159071008155560.pdf,DANFE gerado com sucesso.
2019\27190702556423000118550010001617891000112424.xml,27190702556423000118550010001617891000112424,2019,2019-07-29T00:00:00,gerado,individuais\2019\27190702556423000118550010001617891000112424.pdf,DANFE gerado com sucesso.
2019\27190833737433000183550010000000301000003850.xml,27190833737433000183550010000000301000003850,2019,2019-08-17T00:00:00,gerado,individuais\2019\27190833737433000183550010000000301000003850.pdf,DANFE gerado com sucesso.
2019\27190833737433000183550010000000331000004076.xml,27190833737433000183550010000000331000004076,2019,2019-08-19T00:00:00,gerado,individuais\2019\27190833737433000183550010000000331000004076.pdf,DANFE gerado com sucesso.
2019\27190803656804000131550030000200701004336330.xml,27190803656804000131550030000200701004336330,2019,2019-08-21T17:55:00,gerado,individuais\2019\27190803656804000131550030000200701004336330.pdf,DANFE gerado com sucesso.
2019\27190803656804000131550030000203341002242550.xml,27190803656804000131550030000203341002242550,2019,2019-08-22T17:44:00,gerado,individuais\2019\27190803656804000131550030000203341002242550.pdf,DANFE gerado com sucesso.
2019\27190803656804000131550030000203351005958855.xml,27190803656804000131550030000203351005958855,2019,2019-08-22T17:44:00,gerado,individuais\2019\27190803656804000131550030000203351005958855.pdf,DANFE gerado com sucesso.
2019\27190902779664000126550010000000291066030988.xml,27190902779664000126550010000000291066030988,2019,2019-09-05T12:40:00,gerado,individuais\2019\27190902779664000126550010000000291066030988.pdf,DANFE gerado com sucesso.
2019\27190906698221000161550010000080661109757597.xml,27190906698221000161550010000080661109757597,2019,2019-09-09T12:05:13,gerado,individuais\2019\27190906698221000161550010000080661109757597.pdf,DANFE gerado com sucesso.
2019\27190907573139000173550010000080251000828476.xml,27190907573139000173550010000080251000828476,2019,2019-09-10T00:00:00,gerado,individuais\2019\27190907573139000173550010000080251000828476.pdf,DANFE gerado com sucesso.
2019\27190903656804000131550030000234311002328862.xml,27190903656804000131550030000234311002328862,2019,2019-09-11T10:57:00,gerado,individuais\2019\27190903656804000131550030000234311002328862.pdf,DANFE gerado com sucesso.
2019\27190912392171000192550000000857091017768545.xml,27190912392171000192550000000857091017768545,2019,2019-09-20T08:45:58,gerado,individuais\2019\27190912392171000192550000000857091017768545.pdf,DANFE gerado com sucesso.
2019\27190912392171000192550000000857101529670685.xml,27190912392171000192550000000857101529670685,2019,2019-09-20T08:47:07,gerado,individuais\2019\27190912392171000192550000000857101529670685.pdf,DANFE gerado com sucesso.
2019\27190935722974000163550020000519451107201440.xml,27190935722974000163550020000519451107201440,2019,2019-09-20T10:29:17,gerado,individuais\2019\27190935722974000163550020000519451107201440.pdf,DANFE gerado com sucesso.
2019\27190933737433000183550010000001141000007087.xml,27190933737433000183550010000001141000007087,2019,2019-09-21T00:00:00,gerado,individuais\2019\27190933737433000183550010000001141000007087.pdf,DANFE gerado com sucesso.
2019\27190933737433000183550010000001181000007175.xml,27190933737433000183550010000001181000007175,2019,2019-09-24T00:00:00,gerado,individuais\2019\27190933737433000183550010000001181000007175.pdf,DANFE gerado com sucesso.
2019\27191002779664000126550010000000311066030986.xml,27191002779664000126550010000000311066030986,2019,2019-10-02T16:33:00,gerado,individuais\2019\27191002779664000126550010000000311066030986.pdf,DANFE gerado com sucesso.
2019\27191035722974000163550020000520551107218213.xml,27191035722974000163550020000520551107218213,2019,2019-10-02T17:02:00,gerado,individuais\2019\27191035722974000163550020000520551107218213.pdf,DANFE gerado com sucesso.
2019\27191006864595000100550010000840731013752154.xml,27191006864595000100550010000840731013752154,2019,2019-10-03T11:23:04,gerado,individuais\2019\27191006864595000100550010000840731013752154.pdf,DANFE gerado com sucesso.
2019\27191035722974000163550020000520741107219487.xml,27191035722974000163550020000520741107219487,2019,2019-10-03T14:03:12,gerado,individuais\2019\27191035722974000163550020000520741107219487.pdf,DANFE gerado com sucesso.
2019\27191033737433000183550010000001451000007865.xml,27191033737433000183550010000001451000007865,2019,2019-10-05T00:00:00,gerado,individuais\2019\27191033737433000183550010000001451000007865.pdf,DANFE gerado com sucesso.
2019\27191003656804000131550030000282981002899208.xml,27191003656804000131550030000282981002899208,2019,2019-10-08T11:17:00,gerado,individuais\2019\27191003656804000131550030000282981002899208.pdf,DANFE gerado com sucesso.
2019\27191007122759000196550010000870671000879537.xml,27191007122759000196550010000870671000879537,2019,2019-10-10T07:50:22,gerado,individuais\2019\27191007122759000196550010000870671000879537.pdf,DANFE gerado com sucesso.
2019\27191007122759000196550010000871761000882281.xml,27191007122759000196550010000871761000882281,2019,2019-10-14T08:02:48,gerado,individuais\2019\27191007122759000196550010000871761000882281.pdf,DANFE gerado com sucesso.
2019\27191007122759000196550010000872221000883436.xml,27191007122759000196550010000872221000883436,2019,2019-10-15T07:45:29,gerado,individuais\2019\27191007122759000196550010000872221000883436.pdf,DANFE gerado com sucesso.
2019\27191026774412000172550010000058391000883453.xml,27191026774412000172550010000058391000883453,2019,2019-10-15T07:48:00,gerado,individuais\2019\27191026774412000172550010000058391000883453.pdf,DANFE gerado com sucesso.
2019\27191007122759000196550010000873401000886218.xml,27191007122759000196550010000873401000886218,2019,2019-10-17T08:04:54,gerado,individuais\2019\27191007122759000196550010000873401000886218.pdf,DANFE gerado com sucesso.
2019\27191007122759000196550010000874201000887993.xml,27191007122759000196550010000874201000887993,2019,2019-10-18T11:26:24,gerado,individuais\2019\27191007122759000196550010000874201000887993.pdf,DANFE gerado com sucesso.
2019\27191009619157000174550010000811851000000013.xml,27191009619157000174550010000811851000000013,2019,2019-10-22T00:00:00,gerado,individuais\2019\27191009619157000174550010000811851000000013.pdf,DANFE gerado com sucesso.
2019\35191000327159000115550010000044461039834010.xml,35191000327159000115550010000044461039834010,2019,2019-10-24T14:31:00,gerado,individuais\2019\35191000327159000115550010000044461039834010.pdf,DANFE gerado com sucesso.
2019\27191035722974000163550020000522891107258168.xml,27191035722974000163550020000522891107258168,2019,2019-10-29T13:39:07,gerado,individuais\2019\27191035722974000163550020000522891107258168.pdf,DANFE gerado com sucesso.
2019\27191135722974000163550020000523871107273293.xml,27191135722974000163550020000523871107273293,2019,2019-11-11T11:15:45,gerado,individuais\2019\27191135722974000163550020000523871107273293.pdf,DANFE gerado com sucesso.
2019\27191109619157000174550010000825391000000010.xml,27191109619157000174550010000825391000000010,2019,2019-11-19T00:00:00,gerado,individuais\2019\27191109619157000174550010000825391000000010.pdf,DANFE gerado com sucesso.
2019\27191126774412000172550010000061231000914324.xml,27191126774412000172550010000061231000914324,2019,2019-11-19T16:54:04,gerado,individuais\2019\27191126774412000172550010000061231000914324.pdf,DANFE gerado com sucesso.
2019\27191107122759000196550010000884741000914361.xml,27191107122759000196550010000884741000914361,2019,2019-11-19T17:01:17,gerado,individuais\2019\27191107122759000196550010000884741000914361.pdf,DANFE gerado com sucesso.
2019\27191106864595000100550010000860481013881744.xml,27191106864595000100550010000860481013881744,2019,2019-11-20T10:59:58,gerado,individuais\2019\27191106864595000100550010000860481013881744.pdf,DANFE gerado com sucesso.
2019\27191111050845000108550010001506071018564965.xml,27191111050845000108550010001506071018564965,2019,2019-11-27T11:40:23,gerado,individuais\2019\27191111050845000108550010001506071018564965.pdf,DANFE gerado com sucesso.
2019\27191207122759000196550010000889791000925867.xml,27191207122759000196550010000889791000925867,2019,2019-12-03T07:47:17,gerado,individuais\2019\27191207122759000196550010000889791000925867.pdf,DANFE gerado com sucesso.
2019\27191207122759000196550010000890791000928411.xml,27191207122759000196550010000890791000928411,2019,2019-12-05T07:52:57,gerado,individuais\2019\27191207122759000196550010000890791000928411.pdf,DANFE gerado com sucesso.
2019\27191226774412000172550010000062771000929658.xml,27191226774412000172550010000062771000929658,2019,2019-12-06T07:46:10,gerado,individuais\2019\27191226774412000172550010000062771000929658.pdf,DANFE gerado com sucesso.
2019\27191209619157000174550010000836481000000013.xml,27191209619157000174550010000836481000000013,2019,2019-12-09T00:00:00,gerado,individuais\2019\27191209619157000174550010000836481000000013.pdf,DANFE gerado com sucesso.
2019\27191203656804000131550030000415991004118927.xml,27191203656804000131550030000415991004118927,2019,2019-12-12T08:57:00,gerado,individuais\2019\27191203656804000131550030000415991004118927.pdf,DANFE gerado com sucesso.
2019\27191207122759000196550010000895521000939816.xml,27191207122759000196550010000895521000939816,2019,2019-12-17T16:48:56,gerado,individuais\2019\27191207122759000196550010000895521000939816.pdf,DANFE gerado com sucesso.
2019\26191200776574001551550040037837911213050721.xml,26191200776574001551550040037837911213050721,2019,2019-12-18T08:47:00,gerado,individuais\2019\26191200776574001551550040037837911213050721.pdf,DANFE gerado com sucesso.
2019\26191200776574001551550040037967721150200049.xml,26191200776574001551550040037967721150200049,2019,2019-12-21T07:57:00,gerado,individuais\2019\26191200776574001551550040037967721150200049.pdf,DANFE gerado com sucesso.
2020\27200126774412000172550010000065531000959301.xml,27200126774412000172550010000065531000959301,2020,2020-01-15T07:52:55,gerado,individuais\2020\27200126774412000172550010000065531000959301.pdf,DANFE gerado com sucesso.
2020\27200107122759000196550010000910351000975809.xml,27200107122759000196550010000910351000975809,2020,2020-01-31T07:55:21,gerado,individuais\2020\27200107122759000196550010000910351000975809.pdf,DANFE gerado com sucesso.
2020\27200112268876000445550060000125691000119724.xml,27200112268876000445550060000125691000119724,2020,2020-01-31T16:16:00,gerado,individuais\2020\27200112268876000445550060000125691000119724.pdf,DANFE gerado com sucesso.
2020\41200223369870000138550010000001031030001058.xml,41200223369870000138550010000001031030001058,2020,2020-02-19T16:08:36,gerado,individuais\2020\41200223369870000138550010000001031030001058.pdf,DANFE gerado com sucesso.
2020\41200207880738000130550010000011891010012727.xml,41200207880738000130550010000011891010012727,2020,2020-02-19T16:47:57,gerado,individuais\2020\41200207880738000130550010000011891010012727.pdf,DANFE gerado com sucesso.
2020\35200305694291000189550010000139671930517015.xml,35200305694291000189550010000139671930517015,2020,2020-03-11T09:06:00,gerado,individuais\2020\35200305694291000189550010000139671930517015.pdf,DANFE gerado com sucesso.
2020\33200306020318000544550050004774011269412210.xml,33200306020318000544550050004774011269412210,2020,2020-03-12T16:09:17,gerado,individuais\2020\33200306020318000544550050004774011269412210.pdf,DANFE gerado com sucesso.
2020\33200306020318000544550050004774021176588677.xml,33200306020318000544550050004774021176588677,2020,2020-03-12T16:09:17,gerado,individuais\2020\33200306020318000544550050004774021176588677.pdf,DANFE gerado com sucesso.
2020\33200306020318000544550050004774031109725665.xml,33200306020318000544550050004774031109725665,2020,2020-03-12T16:09:17,gerado,individuais\2020\33200306020318000544550050004774031109725665.pdf,DANFE gerado com sucesso.
2020\33200306020318000544550050004774041190749989.xml,33200306020318000544550050004774041190749989,2020,2020-03-12T16:09:17,gerado,individuais\2020\33200306020318000544550050004774041190749989.pdf,DANFE gerado com sucesso.
2020\35200312408667000107550010000017711336371023.xml,35200312408667000107550010000017711336371023,2020,2020-03-19T14:19:11,gerado,individuais\2020\35200312408667000107550010000017711336371023.pdf,DANFE gerado com sucesso.
2020\35200303509978001143550010002231561262890199.xml,35200303509978001143550010002231561262890199,2020,2020-03-24T16:04:26,gerado,individuais\2020\35200303509978001143550010002231561262890199.pdf,DANFE gerado com sucesso.
2020\35200303509978001143550010002231571437120580.xml,35200303509978001143550010002231571437120580,2020,2020-03-24T16:06:02,gerado,individuais\2020\35200303509978001143550010002231571437120580.pdf,DANFE gerado com sucesso.
2020\35200303509978001143550010002231581496245855.xml,35200303509978001143550010002231581496245855,2020,2020-03-24T16:07:34,gerado,individuais\2020\35200303509978001143550010002231581496245855.pdf,DANFE gerado com sucesso.
2020\35200303509978001143550010002231591542075047.xml,35200303509978001143550010002231591542075047,2020,2020-03-24T16:09:30,gerado,individuais\2020\35200303509978001143550010002231591542075047.pdf,DANFE gerado com sucesso.
2020\41200407880738000130550010000012081010012934.xml,41200407880738000130550010000012081010012934,2020,2020-04-30T15:13:13,gerado,individuais\2020\41200407880738000130550010000012081010012934.pdf,DANFE gerado com sucesso.
2020\41200407880738000130550010000012091010012940.xml,41200407880738000130550010000012091010012940,2020,2020-04-30T15:19:09,gerado,individuais\2020\41200407880738000130550010000012091010012940.pdf,DANFE gerado com sucesso.
2020\35200658566399000152550010001235251100268450.xml,35200658566399000152550010001235251100268450,2020,2020-06-18T15:55:00,gerado,individuais\2020\35200658566399000152550010001235251100268450.pdf,DANFE gerado com sucesso.
2020\27200711050845000108550010001684881020231313.xml,27200711050845000108550010001684881020231313,2020,2020-07-27T10:02:34,gerado,individuais\2020\27200711050845000108550010001684881020231313.pdf,DANFE gerado com sucesso.
2020\35200811949920000177550010000071661844459726.xml,35200811949920000177550010000071661844459726,2020,2020-08-13T09:33:39,gerado,individuais\2020\35200811949920000177550010000071661844459726.pdf,DANFE gerado com sucesso.
2020\35200811949920000177550010000071671844462490.xml,35200811949920000177550010000071671844462490,2020,2020-08-13T09:37:23,gerado,individuais\2020\35200811949920000177550010000071671844462490.pdf,DANFE gerado com sucesso.
2020\35200812408667000107550010000018451878502838.xml,35200812408667000107550010000018451878502838,2020,2020-08-18T11:05:37,gerado,individuais\2020\35200812408667000107550010000018451878502838.pdf,DANFE gerado com sucesso.
2020\26200810499468000126550010000036101746211675.xml,26200810499468000126550010000036101746211675,2020,2020-08-28T10:44:49,gerado,individuais\2020\26200810499468000126550010000036101746211675.pdf,DANFE gerado com sucesso.
2020\27200911188276000161550010000324701000575591.xml,27200911188276000161550010000324701000575591,2020,2020-09-09T15:45:00,gerado,individuais\2020\27200911188276000161550010000324701000575591.pdf,DANFE gerado com sucesso.
2020\35200912408667000107550010000018601728621610.xml,35200912408667000107550010000018601728621610,2020,2020-09-11T16:54:42,gerado,individuais\2020\35200912408667000107550010000018601728621610.pdf,DANFE gerado com sucesso.
2020\35200912408667000107550010000018631076533636.xml,35200912408667000107550010000018631076533636,2020,2020-09-15T16:23:48,gerado,individuais\2020\35200912408667000107550010000018631076533636.pdf,DANFE gerado com sucesso.
2020\35200912408667000107550010000018681875536438.xml,35200912408667000107550010000018681875536438,2020,2020-09-22T17:30:47,gerado,individuais\2020\35200912408667000107550010000018681875536438.pdf,DANFE gerado com sucesso.
2020\31200932826997000120550010000000861407000009.xml,31200932826997000120550010000000861407000009,2020,2020-09-24T10:23:00,gerado,individuais\2020\31200932826997000120550010000000861407000009.pdf,DANFE gerado com sucesso.
2020\35201052889698000141550010000035141779825241.xml,35201052889698000141550010000035141779825241,2020,2020-10-01T11:06:00,gerado,individuais\2020\35201052889698000141550010000035141779825241.pdf,DANFE gerado com sucesso.
2020\35201012408667000107550010000018851564028377.xml,35201012408667000107550010000018851564028377,2020,2020-10-20T15:46:06,gerado,individuais\2020\35201012408667000107550010000018851564028377.pdf,DANFE gerado com sucesso.
2020\27201009157923000126550010000009931348089639.xml,27201009157923000126550010000009931348089639,2020,2020-10-23T14:27:00,gerado,individuais\2020\27201009157923000126550010000009931348089639.pdf,DANFE gerado com sucesso.
2020\42201182699588000188550010003190071341309871.xml,42201182699588000188550010003190071341309871,2020,2020-11-04T00:00:00,gerado,individuais\2020\42201182699588000188550010003190071341309871.pdf,DANFE gerado com sucesso.
2020\27201103656804000131550030000918361100009192.xml,27201103656804000131550030000918361100009192,2020,2020-11-16T14:51:00,gerado,individuais\2020\27201103656804000131550030000918361100009192.pdf,DANFE gerado com sucesso.
2020\27201103656804000131550030000918371100308014.xml,27201103656804000131550030000918371100308014,2020,2020-11-16T14:52:00,gerado,individuais\2020\27201103656804000131550030000918371100308014.pdf,DANFE gerado com sucesso.
2020\27201120266767000174550010000058371004170385.xml,27201120266767000174550010000058371004170385,2020,2020-11-18T08:40:09,gerado,individuais\2020\27201120266767000174550010000058371004170385.pdf,DANFE gerado com sucesso.
2020\27201107437477000269550010000521781000521798.xml,27201107437477000269550010000521781000521798,2020,2020-11-23T15:43:15,gerado,individuais\2020\27201107437477000269550010000521781000521798.pdf,DANFE gerado com sucesso.
2020\33201106020318000544550050005021931443377590.xml,33201106020318000544550050005021931443377590,2020,2020-11-30T12:29:29,gerado,individuais\2020\33201106020318000544550050005021931443377590.pdf,DANFE gerado com sucesso.
2020\27201203656804000131550030000950281100205656.xml,27201203656804000131550030000950281100205656,2020,2020-12-02T10:10:00,gerado,individuais\2020\27201203656804000131550030000950281100205656.pdf,DANFE gerado com sucesso.
2020\33201206020318000544550050005029171506650340.xml,33201206020318000544550050005029171506650340,2020,2020-12-04T16:23:53,gerado,individuais\2020\33201206020318000544550050005029171506650340.pdf,DANFE gerado com sucesso.
2020\35201212408667000107550010000019351788122327.xml,35201212408667000107550010000019351788122327,2020,2020-12-11T08:36:10,gerado,individuais\2020\35201212408667000107550010000019351788122327.pdf,DANFE gerado com sucesso.
2021\35210158566399000152550010001284351114158358.xml,35210158566399000152550010001284351114158358,2021,2021-01-13T16:36:00,gerado,individuais\2021\35210158566399000152550010001284351114158358.pdf,DANFE gerado com sucesso.
2021\27210114417251000180550010000078111464838712.xml,27210114417251000180550010000078111464838712,2021,2021-01-29T00:00:00,gerado,individuais\2021\27210114417251000180550010000078111464838712.pdf,DANFE gerado com sucesso.
2021\35210212408667000107550010000020901563632669.xml,35210212408667000107550010000020901563632669,2021,2021-02-26T14:01:56,gerado,individuais\2021\35210212408667000107550010000020901563632669.pdf,DANFE gerado com sucesso.
2021\43210302168023000135550010000106041147535192.xml,43210302168023000135550010000106041147535192,2021,2021-03-16T16:06:04,gerado,individuais\2021\43210302168023000135550010000106041147535192.pdf,DANFE gerado com sucesso.
2021\43210302168023000135550010000106171631676872.xml,43210302168023000135550010000106171631676872,2021,2021-03-18T15:15:14,gerado,individuais\2021\43210302168023000135550010000106171631676872.pdf,DANFE gerado com sucesso.
2021\43210302168023000135550010000106181922577312.xml,43210302168023000135550010000106181922577312,2021,2021-03-18T16:19:49,gerado,individuais\2021\43210302168023000135550010000106181922577312.pdf,DANFE gerado com sucesso.
2021\43210302168023000135550010000106221178127140.xml,43210302168023000135550010000106221178127140,2021,2021-03-19T15:20:45,gerado,individuais\2021\43210302168023000135550010000106221178127140.pdf,DANFE gerado com sucesso.
2021\43210302168023000135550010000106261957533542.xml,43210302168023000135550010000106261957533542,2021,2021-03-22T16:06:16,gerado,individuais\2021\43210302168023000135550010000106261957533542.pdf,DANFE gerado com sucesso.
